MSSV,T1,T2,T3,T4,T5,T6,GT,DT,KV,NGONNGU,TOANLOGICPHANTICH,GIAIQUYETVANDE,KT,NGAYTHI,DINHHUONGNGHENGHIEP
SV001,7.2,8.4,7.4,7.2,7.4,6.9,F,,2NT,3.25,3.25,4.5,A1,12/7/2018,No
SV002,5.4,6.3,4.3,4.9,3,4,M,,1,6,4,3.5,C,12/7/2018,Yes
SV003,5.6,5,2.8,6.1,4.8,5.7,M,,1,5,6.75,4,C,12/7/2018,No
SV004,6.6,5.1,5.9,4.1,6.1,7.4,M,,1,4.25,4.25,5.25,D1,12/7/2018,No
SV005,6,5.4,7.6,4.4,6.8,8,M,,2NT,4.25,4.5,5,A,12/7/2018,No
SV006,9.3,9.6,7.1,8.5,8.5,7.8,M,,1,1.5,4,6,D1,12/7/2018,No
SV007,2.8,4.4,4.6,4.7,5.4,5.3,F,,2,6.5,6.75,5.25,C,12/7/2018,Yes
SV008,8.3,6.7,8.6,8.3,8.5,8.3,F,,2,3.75,4.5,4.25,D1,12/7/2018,Yes
SV009,6.5,7.3,6.4,8.1,7.7,7.7,F,,1,3.5,3.5,6.75,D1,12/7/2018,Yes
SV0010,7.3,8,6.5,5.5,7.5,6.9,F,,1,4,4.75,5.5,D1,12/7/2018,Yes
SV0011,5.2,6.3,7.8,7.6,6.2,7.3,F,,2,3,4,5.5,D1,12/7/2018,No
SV0012,7.9,8.2,8.1,6.9,8,8.1,M,,2,6.75,6.5,4.25,D1,12/7/2018,Yes
SV0013,7.3,5.8,8.5,7.6,9.3,8.3,F,,1,2,4.5,5,D1,12/7/2018,No
SV0014,4.9,4.5,4.5,4.6,6.5,6.9,F,,1,2.5,2.75,5.5,D1,12/7/2018,No
SV0015,7.1,8.3,8.6,8.3,8.6,8.5,F,,2NT,3.5,4.5,6.5,A,12/7/2018,No
SV0016,2.5,6.2,6.5,7.3,3.4,5.3,M,,1,3.75,3,6.5,D1,12/7/2018,Yes
SV0017,8.8,7.3,7.5,7.7,7.4,7.5,F,,1,3.5,4,3.5,A,12/7/2018,Yes
